Id;EntityCreatedAt;EntityModifiedAt;MRID;DocStatusValue;AttributeInstanceComponent;LongNames;DisplayNames;LastRequestDateAndOrTime;DeactivateRequestDateAndOrTime;MarketParticipantStreetAddressCountry;MarketParticipantACERCode;MarketParticipantVATcode;Description;EICParentMarketDocumentMRID;ELCResponsibleMarketParticipantMRID;IsDeleted;AllocatedEICID
49989;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22WZANDVL150255D;A05;International;Zandvliet Power;BE_GU_ZANDVPOWER;2017-02-16 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;11XELECTRABEL--Z;0;3
49990;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22WDOELX1000076X;A05;International;DOEL 1;BE_PU_DOEL1;2017-02-16 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;11XELECTRABEL--Z;0;3
49991;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22WZELZAT0002618;A05;International;Zelzate 2 Knippegroen;BE_PU_ZELZAT2KNI;2017-02-16 00:00:00.0000000;NULL;BE;;NULL;NULL;NULL;11XELECTRABEL--Z;0;3
49992;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22X01062010----M;A05;International;TESSENDERLO CHEMIE/LIMBURGSE VINYL MAATSCHAPPIJ;BE_LVM;2012-02-01 00:00:00.0000000;NULL;BE;;BE0415505042;Producer;NULL;NULL;0;3
49993;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22X011271141298F;A05;International;INEOS FELUY SPRL;BE_INEOS_FELUY;2011-10-28 00:00:00.0000000;NULL;BE;;BE0862492029;NULL;NULL;NULL;0;3
49994;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22X10092011----M;A05;International;ARCELORMITTAL ENERGY S.C.A;BE_AM_ENERGY;2011-09-10 00:00:00.0000000;NULL;LU;;LU24894310;Consumer;NULL;NULL;0;3
49995;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22X20090129----1;A05;International;CIMENTERIES CBR CEMENTBEDRIJVEN;BE_CBR;2012-01-27 00:00:00.0000000;NULL;BE;;BE0400465290;Consumer;NULL;NULL;0;3
49996;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22X20090410----1;A05;International;BECQUEVORT SA;BE_OCTA+;2012-02-01 00:00:00.0000000;NULL;BE;;BE0401934742;Consumer;NULL;NULL;0;3
49997;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22X20101126GCV-4;A05;International;VOLVO CARS GENT;BE_VOLVOCARGENT;2012-02-03 00:00:00.0000000;NULL;BE;;BE0420383548;Consumer;NULL;NULL;0;3
49998;2019-04-01 09:26:51.2053104 +00:00;2019-04-01 09:26:51.2053104 +00:00;22X20110711----3;A05;International;ENERGIE E&E;BE_ENERGIE_E_E;2011-07-11 00:00:00.0000000;NULL;NL;;NL850641214B01;ENERGY MANAGEMENT;NULL;NULL;0;3
